Date,Price,Open,High,Low,Vol.,Change %,Name
10-Oct-21,"54,687.70","54,942.50","56,432.20","54,100.80",104.43K,-0.46%,Bitcoin
9-Oct-21,"54,942.50","53,924.10","55,430.80","53,711.70",64.65K,1.91%,Bitcoin
8-Oct-21,"53,914.70","53,785.50","55,977.90","53,659.30",64.05K,0.24%,Bitcoin
7-Oct-21,"53,783.90","55,325.20","55,325.60","53,476.40",75.68K,-2.78%,Bitcoin
6-Oct-21,"55,323.20","51,470.00","55,676.10","50,439.50",116.26K,7.49%,Bitcoin
5-Oct-21,"51,469.30","49,229.50","51,872.40","49,060.10",76.63K,4.55%,Bitcoin
4-Oct-21,"49,227.30","48,200.40","49,481.70","46,958.60",66.92K,2.13%,Bitcoin
3-Oct-21,"48,200.10","47,665.40","49,165.20","47,123.00",42.41K,1.12%,Bitcoin
2-Oct-21,"47,666.90","48,147.20","48,306.90","47,451.70",39.82K,-1.00%,Bitcoin
1-Oct-21,"48,146.00","43,824.40","48,435.20","43,292.90",94.66K,9.86%,Bitcoin
30-Sep-21,"43,823.30","41,534.50","44,101.20","41,416.70",64.32K,5.50%,Bitcoin
29-Sep-21,"41,536.80","41,023.10","42,571.20","40,815.00",48.21K,1.25%,Bitcoin
28-Sep-21,"41,022.30","42,169.90","42,758.80","40,906.40",60.01K,-2.73%,Bitcoin
27-Sep-21,"42,172.60","43,200.90","44,293.20","42,143.90",54.12K,-2.39%,Bitcoin
26-Sep-21,"43,203.40","42,685.80","43,907.30","40,786.60",69.91K,1.21%,Bitcoin
25-Sep-21,"42,686.80","42,818.70","42,959.30","41,714.50",46.35K,-0.31%,Bitcoin
24-Sep-21,"42,819.90","44,867.40","45,112.00","40,908.50",128.88K,-4.57%,Bitcoin
23-Sep-21,"44,869.20","43,550.70","44,949.80","43,090.10",74.54K,3.03%,Bitcoin
22-Sep-21,"43,551.60","40,660.80","43,976.70","40,585.70",93.98K,7.13%,Bitcoin
21-Sep-21,"40,651.30","43,012.30","43,619.30","39,646.80",142.55K,-5.18%,Bitcoin
20-Sep-21,"42,870.60","47,240.80","47,323.90","42,547.10",77.96K,-9.25%,Bitcoin
19-Sep-21,"47,238.70","48,299.90","48,341.90","46,866.60",41.98K,-2.21%,Bitcoin
18-Sep-21,"48,306.70","47,283.90","48,761.00","47,070.50",43.64K,2.17%,Bitcoin
17-Sep-21,"47,282.80","47,748.20","48,155.90","46,788.80",50.16K,-0.97%,Bitcoin
16-Sep-21,"47,748.00","48,132.30","48,480.60","47,040.30",60.91K,-0.80%,Bitcoin
15-Sep-21,"48,130.60","47,070.80","48,436.50","46,743.90",63.40K,2.24%,Bitcoin
14-Sep-21,"47,077.50","44,950.20","47,247.60","44,718.70",65.33K,4.73%,Bitcoin
