Date,Price,Open,High,Low,Vol.,Change %
5-Feb-22,0.66617,0.65556,0.68613,0.65019,581.98M,1.61%
4-Feb-22,0.65563,0.60956,0.65823,0.60446,523.14M,7.55%
3-Feb-22,0.60961,0.60089,0.60961,0.58941,349.86M,1.46%
2-Feb-22,0.60082,0.62824,0.63115,0.596,379.99M,-4.36%
1-Feb-22,0.62823,0.61758,0.63066,0.61117,357.98M,1.75%
31-Jan-22,0.61746,0.60147,0.62394,0.581,441.21M,2.66%
30-Jan-22,0.60148,0.61748,0.62292,0.59753,297.09M,-2.58%
29-Jan-22,0.6174,0.61127,0.62467,0.60914,301.82M,1.00%
28-Jan-22,0.61128,0.60895,0.61358,0.59197,459.46M,0.48%
27-Jan-22,0.60837,0.61899,0.62405,0.58965,582.23M,-1.71%
26-Jan-22,0.61896,0.6178,0.65753,0.60523,895.25M,0.22%
25-Jan-22,0.6176,0.61203,0.6227,0.58659,639.44M,0.90%
24-Jan-22,0.61208,0.62868,0.62868,0.55498,1.03B,-2.65%
23-Jan-22,0.62873,0.59679,0.63494,0.5903,658.65M,5.36%
22-Jan-22,0.59674,0.6372,0.65281,0.552,1.45B,-6.37%
21-Jan-22,0.63732,0.72025,0.72835,0.61332,1.14B,-11.54%
20-Jan-22,0.72044,0.73819,0.76195,0.71648,398.80M,-2.38%
19-Jan-22,0.73799,0.7509,0.75318,0.72406,394.07M,-1.78%
18-Jan-22,0.75136,0.76171,0.76844,0.73567,381.76M,-1.33%
17-Jan-22,0.76147,0.77844,0.78022,0.75064,353.39M,-2.18%
16-Jan-22,0.77843,0.77921,0.78416,0.7685,241.76M,-0.12%
15-Jan-22,0.77934,0.77313,0.78921,0.76841,265.12M,0.79%
14-Jan-22,0.77323,0.76752,0.79013,0.75279,410.72M,0.78%
13-Jan-22,0.76724,0.79807,0.8021,0.76089,422.74M,-3.84%
12-Jan-22,0.79788,0.76992,0.80681,0.75762,543.02M,3.64%
11-Jan-22,0.76986,0.74011,0.77445,0.73084,495.85M,4.02%
10-Jan-22,0.74013,0.75294,0.75892,0.70058,566.01M,-1.69%
9-Jan-22,0.75283,0.74478,0.7665,0.73842,307.32M,1.09%
8-Jan-22,0.74471,0.76271,0.77617,0.72319,471.11M,-2.35%
7-Jan-22,0.7626,0.77904,0.78057,0.72996,688.04M,-2.18%
6-Jan-22,0.7796,0.77137,0.79055,0.74005,584.96M,1.08%
5-Jan-22,0.77125,0.82271,0.83655,0.71549,631.16M,-6.27%
4-Jan-22,0.82285,0.83183,0.84489,0.81716,395.68M,-1.07%
3-Jan-22,0.83173,0.85867,0.85867,0.82199,363.28M,-3.14%
2-Jan-22,0.85871,0.85003,0.8638,0.83745,254.07M,1.02%
1-Jan-22,0.85001,0.83007,0.85483,0.82553,266.53M,2.42%
31-Dec-21,0.82995,0.83871,0.8535,0.80292,457.62M,-1.04%
30-Dec-21,0.83868,0.81681,0.85856,0.8042,502.92M,2.72%
29-Dec-21,0.8165,0.85164,0.86439,0.8118,574.42M,-4.07%
28-Dec-21,0.85112,0.92664,0.92677,0.84575,604.16M,-8.11%
