Price,Day,Day1
163.84,Thursday,4
161.46,Wednesday,3
148.132,Tuesday,2
156.99,Monday,1
175.56,Sunday,0
181.331,Saturday,6
179.81,Friday,5
185.251,Thursday,4
188.971,Wednesday,3
182.889,Tuesday,2
179.269,Monday,1
183.239,Sunday,0
178.52,Saturday,6
174.041,Friday,5
180.3,Thursday,4
179.567,Wednesday,3
177.948,Tuesday,2
219.42,Monday,1
231.53,Sunday,0
212.239,Saturday,6
212.7,Friday,5
183.5,Thursday,4
180.841,Wednesday,3
171.49,Tuesday,2
167.329,Monday,1
174.292,Sunday,0
175.46,Saturday,6
176.12,Friday,5
167.61,Thursday,4
177.839,Wednesday,3
173.6,Tuesday,2
187.013,Monday,1
185.929,Sunday,0
179.698,Saturday,6
183.568,Friday,5
175.68,Thursday,4
166.782,Wednesday,3
168.776,Tuesday,2
178.048,Monday,1
184.729,Sunday,0
182.71,Saturday,6
183.27,Friday,5
165.356,Thursday,4
170.789,Wednesday,3
165.332,Tuesday,2
166.441,Monday,1
149.653,Sunday,0
156.057,Saturday,6
147.771,Friday,5
143.36,Thursday,4
142.588,Wednesday,3
138.25,Tuesday,2
141.41,Monday,1
140.35,Sunday,0
144.691,Saturday,6
145.58,Friday,5
141.29,Thursday,4
139.9,Wednesday,3
134.729,Tuesday,2
131.094,Monday,1
127.59,Sunday,0
125.531,Saturday,6
124.237,Friday,5
120.718,Thursday,4
117.615,Wednesday,3
107.27,Tuesday,2
113.098,Monday,1
119.172,Sunday,0
119.87,Saturday,6
120.594,Friday,5
125.642,Thursday,4
131.056,Wednesday,3
131.41,Tuesday,2
133.424,Monday,1
134.16,Sunday,0
133.982,Saturday,6
134.535,Friday,5
130.53,Thursday,4
137.39,Wednesday,3
138.913,Tuesday,2
137.744,Monday,1
144.901,Sunday,0
140.008,Saturday,6
136.84,Friday,5
137.162,Thursday,4
144.15,Wednesday,3
143.66,Tuesday,2
137.57,Monday,1
132.482,Sunday,0
126.814,Saturday,6
125.213,Friday,5
134.548,Thursday,4
128.968,Wednesday,3
119.557,Tuesday,2
124.743,Monday,1
154.799,Sunday,0
152.566,Saturday,6
156.0,Friday,5
167.017,Thursday,4
166.559,Wednesday,3
175.224,Tuesday,2
179.893,Monday,1
170.844,Sunday,0
161.633,Saturday,6
162.833,Friday,5
168.024,Thursday,4
172.355,Wednesday,3
160.628,Tuesday,2
161.939,Monday,1
176.29,Sunday,0
172.99,Saturday,6
178.609,Friday,5
192.95,Thursday,4
187.225,Wednesday,3
182.932,Tuesday,2
188.169,Monday,1
170.503,Sunday,0
163.501,Saturday,6
177.296,Friday,5
193.255,Thursday,4
198.791,Wednesday,3
183.805,Tuesday,2
184.209,Monday,1
142.545,Sunday,0
169.416,Saturday,6
180.075,Friday,5
211.77,Thursday,4
186.896,Wednesday,3
294.385,Tuesday,2
281.264,Monday,1
296.201,Sunday,0
299.5,Saturday,6
326.21,Friday,5
317.51,Thursday,4
302.33,Wednesday,3
377.369,Tuesday,2
359.106,Monday,1
386.82,Sunday,0
347.03,Saturday,6
345.537,Friday,5
353.38,Thursday,4
355.957,Wednesday,3
305.328,Tuesday,2
294.431,Monday,1
268.86,Sunday,0
276.75,Saturday,6
271.08,Friday,5
255.379,Thursday,4
