Date,Price,Open,High,Low,Vol.,Change %
15-Jan-22,147.7,144.7,150.5,144.2,461.87K,2.07%
14-Jan-22,144.7,136.7,146.3,136,588.21K,6.01%
13-Jan-22,136.5,141.9,142.2,134.8,462.23K,-3.81%
12-Jan-22,141.9,131.6,142.1,130.9,387.74K,7.91%
11-Jan-22,131.5,126.5,133.4,125.8,396.22K,3.95%
10-Jan-22,126.5,130.8,131.5,121.1,621.00K,-3.29%
9-Jan-22,130.8,129.4,132.5,128,322.01K,1.08%
8-Jan-22,129.4,131.3,134.7,125.3,449.88K,-1.37%
7-Jan-22,131.2,136.1,136.4,126.6,734.09K,-3.60%
6-Jan-22,136.1,135.1,137.9,132.6,531.59K,0.74%
5-Jan-22,135.1,146.5,149.8,130,601.80K,-7.84%
4-Jan-22,146.6,148.4,151.6,145.6,331.45K,-1.21%
3-Jan-22,148.4,151.2,151.2,146,290.46K,-1.85%
2-Jan-22,151.2,150.8,153.2,147.9,228.38K,0.27%
1-Jan-22,150.8,146.3,150.9,146.3,225.23K,3.08%
31-Dec-21,146.3,148,152.5,143.8,344.87K,-1.22%
30-Dec-21,148.1,145.5,149.9,143,318.21K,1.86%
29-Dec-21,145.4,145.7,150.7,144.2,444.89K,-0.21%
28-Dec-21,145.7,155.9,155.9,144.7,679.90K,-6.54%
27-Dec-21,155.9,155.8,161.1,154.5,464.11K,0.06%
26-Dec-21,155.8,157.7,158.3,153,890.80K,-1.20%
25-Dec-21,157.7,161,163.6,157.7,453.25K,-2.05%
24-Dec-21,161,163.5,166.7,160.3,411.82K,-1.53%
23-Dec-21,163.5,155.4,165.1,153.2,521.21K,5.21%
22-Dec-21,155.4,154.8,160.1,153.1,415.29K,0.39%
21-Dec-21,154.8,152.6,156.3,149.2,375.36K,1.44%
20-Dec-21,152.6,153.3,157.4,145.4,550.93K,-0.46%
19-Dec-21,153.3,148.7,160.5,147.6,738.41K,3.09%
18-Dec-21,148.7,144.1,150.2,142.9,300.89K,3.19%
17-Dec-21,144.1,148.9,150.3,141.5,472.43K,-3.22%
16-Dec-21,148.9,153.5,156.4,148.6,434.90K,-3.00%
15-Dec-21,153.5,150.5,155,141.9,611.77K,1.93%
14-Dec-21,150.6,144.5,151.8,143,511.83K,4.22%
13-Dec-21,144.5,159.1,159.8,142.9,628.20K,-9.18%
12-Dec-21,159.1,157.6,162.4,153.3,382.61K,0.95%
11-Dec-21,157.6,148.4,159.3,146,558.52K,6.20%
10-Dec-21,148.4,151.5,159.6,147.9,704.52K,-2.05%
9-Dec-21,151.5,165,167.1,151.4,648.27K,-8.18%
8-Dec-21,165,161.9,169.7,156.4,890.45K,1.91%
7-Dec-21,161.9,161.6,165.6,158.5,672.33K,0.19%
6-Dec-21,161.6,156.2,164.3,141.5,1.10M,3.46%
5-Dec-21,156.2,162.9,164.9,148.9,1.08M,-4.11%
4-Dec-21,162.9,188,189.2,130.3,2.76M,-13.35%
3-Dec-21,188,203.5,207.5,180.5,824.67K,-7.62%
2-Dec-21,203.5,208.8,210.1,200.1,562.33K,-2.54%
1-Dec-21,208.8,207.8,217.6,205.6,674.03K,0.34%
30-Nov-21,208.1,205.6,218.9,197.5,1.03M,1.27%
29-Nov-21,205.5,199.6,209.3,195.4,811.22K,2.96%
28-Nov-21,199.6,195.1,199.8,183.5,723.66K,2.25%
27-Nov-21,195.2,195.8,200.7,190.8,524.81K,0.05%
26-Nov-21,195.1,222.7,224.7,190.4,1.54M,-12.39%
25-Nov-21,222.7,212.2,229.6,210.7,891.65K,4.95%
24-Nov-21,212.2,216.4,217.7,206.1,586.49K,-1.94%
23-Nov-21,216.4,209.1,218.4,205.6,710.13K,3.49%
22-Nov-21,209.1,221.9,221.9,205.6,865.58K,-5.77%
21-Nov-21,221.9,226.8,230.1,219.8,698.10K,-2.16%
20-Nov-21,226.8,217.9,227.5,213.3,841.26K,4.08%
19-Nov-21,217.9,204.2,220.7,199.8,1.04M,6.45%
18-Nov-21,204.7,229.8,231.9,200,1.69M,-10.92%
17-Nov-21,229.8,230.2,235,219.3,1.42M,-0.17%
16-Nov-21,230.2,263,263,223,2.40M,-12.37%
15-Nov-21,262.7,279.4,281.1,259.8,1.16M,-5.98%
14-Nov-21,279.4,257.7,279.4,248.8,1.36M,8.42%
13-Nov-21,257.7,251.1,263.9,245.4,1.17M,2.51%
12-Nov-21,251.4,262.5,282.6,244.1,2.41M,-4.23%
11-Nov-21,262.5,260.5,273.9,251.1,1.67M,0.77%
10-Nov-21,260.5,262,295.1,252.7,3.73M,-0.65%
9-Nov-21,262.2,228.9,274.5,227.1,3.26M,14.55%
8-Nov-21,228.9,202,229.6,202,1.38M,13.37%
7-Nov-21,201.9,197.6,202.1,197.1,351.14K,2.18%
6-Nov-21,197.6,200.275,200.35,191.2,420.64K,-1.34%
5-Nov-21,200.279,202.736,203.073,199.856,14.50M,-1.22%
4-Nov-21,202.746,206.654,206.754,197.071,27.93M,-1.89%
3-Nov-21,206.654,200.316,208.425,198.256,33.53M,3.11%
2-Nov-21,200.414,197.288,203.873,196.051,28.99M,1.59%
1-Nov-21,197.278,191.716,200.268,188.785,26.97M,2.89%
31-Oct-21,191.743,189.512,194.154,187.665,24.38M,1.16%
30-Oct-21,189.552,196.498,196.884,187.507,26.75M,-3.54%
29-Oct-21,196.498,190.319,197.694,189.19,31.30M,3.25%
28-Oct-21,190.319,179.742,193.57,178.541,34.58M,5.92%
27-Oct-21,179.685,197.549,204.809,171.37,46.43M,-9.03%
26-Oct-21,197.53,195.43,199.28,190.362,56.89M,1.08%
25-Oct-21,195.421,190.441,197.319,189.66,60.19M,2.62%
24-Oct-21,190.441,196.35,199.685,185.411,68.54M,-3.01%
23-Oct-21,196.35,191.02,197.741,189.011,64.41M,2.84%
22-Oct-21,190.93,196.79,201.349,188.045,73.99M,-2.95%
21-Oct-21,196.741,207.429,214.459,195.36,77.56M,-5.10%
20-Oct-21,207.312,188.75,209.239,185.641,66.81M,9.83%
19-Oct-21,188.75,185.541,191.549,183.303,66.09M,1.72%
18-Oct-21,185.55,183.731,187.281,178.643,70.90M,0.99%
17-Oct-21,183.73,185.77,187.86,176.626,63.75M,-1.03%
16-Oct-21,185.641,189.717,192.5,185.133,72.42M,-2.16%
15-Oct-21,189.746,181.115,192.839,176.84,72.77M,4.77%
14-Oct-21,181.115,177.53,186.454,177.021,70.82M,2.02%
13-Oct-21,177.53,172.699,179.64,167.84,70.22M,2.84%
12-Oct-21,172.629,179.142,179.15,166.56,70.53M,-3.70%
11-Oct-21,179.26,174.84,185.249,172.418,71.84M,2.53%
10-Oct-21,174.84,179.82,183.879,174.17,68.19M,-2.76%
9-Oct-21,179.81,175.741,182.77,174.474,65.21M,2.31%
8-Oct-21,175.751,178.46,183.346,174.643,69.27M,-1.52%
7-Oct-21,178.46,178.43,186.93,173.549,73.56M,0.01%
6-Oct-21,178.438,173.741,182.968,163.952,70.11M,2.71%
5-Oct-21,173.731,167.46,175.378,166.67,65.50M,3.63%
4-Oct-21,167.639,170.549,170.77,161.679,67.61M,-1.68%
3-Oct-21,170.499,169.05,174.921,165.862,67.25M,0.86%
2-Oct-21,169.04,166.141,172.648,164.631,64.60M,1.75%
1-Oct-21,166.13,153.33,167.981,151.25,64.93M,8.35%
30-Sep-21,153.33,144.831,154.379,143.95,64.00M,5.85%
29-Sep-21,144.85,140.619,149.863,139.921,65.73M,3.00%
28-Sep-21,140.629,145.03,148.75,140.14,68.37M,-3.05%
27-Sep-21,145.05,150.849,154.869,144.842,69.36M,-3.84%
