Price,Day
1128.46,Wednesday
1050.19,Tuesday
1091.47,Monday
1256.04,Sunday
1275.58,Saturday
1215.73,Friday
1224.35,Thursday
1207.77,Wednesday
1099.52,Tuesday
1042.4,Monday
974.97,Sunday
774.5,Saturday
729.12,Friday
