Price,Day
55036.1,Friday
51322.3,Thursday
52325.4,Wednesday
54452.5,Tuesday
54158.3,Monday
57383.8,Sunday
58093.4,Saturday
58088.0,Friday
57656.0,Thursday
58913.5,Wednesday
56889.7,Tuesday
55791.3,Monday
59113.7,Sunday
61195.3,Saturday
57265.1,Friday
57799.5,Thursday
55851.9,Wednesday
54879.0,Tuesday
52311.0,Monday
50982.3,Sunday
48855.6,Saturday
48792.5,Friday
48428.0,Thursday
50395.1,Wednesday
48424.2,Tuesday
49595.5,Monday
45164.0,Sunday
46136.7,Saturday
46345.6,Friday
46928.5,Thursday
49697.5,Wednesday
48911.2,Tuesday
54111.8,Monday
57433.8,Sunday
55923.7,Saturday
55906.6,Friday
51582.2,Thursday
52079.2,Wednesday
49169.7,Tuesday
47936.3,Monday
48643.4,Sunday
47168.7,Saturday
47371.7,Friday
47990.7,Thursday
44836.0,Wednesday
46508.6,Tuesday
46395.7,Monday
38852.9,Sunday
39256.6,Saturday
38297.6,Friday
36982.1,Thursday
37646.8,Wednesday
35485.2,Tuesday
33515.7,Monday
33108.1,Sunday
34283.1,Saturday
34301.8,Friday
33374.8,Thursday
30404.0,Wednesday
32502.1,Tuesday
32252.3,Monday
32241.3,Sunday
32088.9,Saturday
33000.5,Friday
30842.1,Thursday
35476.3,Wednesday
36002.9,Tuesday
36613.2,Monday
35839.6,Sunday
36019.5,Saturday
36845.8,Friday
39175.7,Thursday
37382.2,Wednesday
34076.1,Tuesday
35544.3,Monday
38192.2,Sunday
40151.9,Saturday
40599.3,Friday
39460.2,Thursday
36793.2,Wednesday
33991.5,Tuesday
32022.6,Monday
32958.9,Sunday
32193.3,Saturday
29359.9,Friday
